Discussing Improvements,Specific good/bads ,Generally answering,Consistent score,Droning off about quality,Complaining about missing things,Questioning correctness,Garbage,,Score,Answer
x,,,?,,,,,,7,"7.(* We can make it better *)open merkle_interface_auxabbreviation (input) ""'a + 'b \<times> 'c \<Rightarrow> 'c setset_base_F\<^sub>m \<equiv> \<lambda>'a + 'b \<times> 'cx. 'a + 'b \<times> 'c \<Rightarrow> ('b \<times> 'c) setsetr 'a + 'b \<times> 'cx \<bind> 'b \<times> 'c \<Rightarrow> 'b setfsts""abbreviation (input) ""'a + 'b \<times> 'c \<Rightarrow> 'c setset_rec_F\<^sub>m \<equiv> \<lambda>'a + 'b \<times> 'cA. 'a + 'b \<times> 'c \<Rightarrow> ('b \<times> 'c) setsetr 'a + 'b \<times> 'cA \<bind> 'b \<times> 'c \<Rightarrow> 'c setsnds""abbreviation (input) ""'a + 'b \<times> 'c \<Rightarrow> 'c setset_base_"
,,,,,,,x,,7,7.The Isabelle formalization has a quality of 10.The SMT formalization has a quality of 7.
,x,,y,,,,,,7,7.What can be improved?The proof for list_R1_to_list_simps is not very nice.
,,,,,,,x,,7,"7.\end{code}In Isabelle, a formalization can be partially trusted, it can be good, or bad, and it can be trusted fully."
,,,,,,,x,,6,6.\subsection{What about the formalization quality?}Isabelle's formalizations can be used in many contexts.
,,x,y,,,,,,5,"5. This is not bad, but it could definitely be improved."
,,,,,,,x,,5,"5.In the real world, you will probably have many definitions and lemmas."
,,,,x,,,,,4,"4.When assessing the quality of a formalization, we want to be able to make a distinction between a formalization that is “bad”, one that is “average”, and one that is “good”."
,,x,n,,,,,,3,"3. It is understandable and easy to use, but the definitions are not as clear as they could be."
,,,,,,,x,,5,"5.\section{Maintainability}Isabelle's Ltac and proof environment is very expressive. However, it can be very difficult to find the right Ltac commands and their order."
,,,,,x,,,,4,4. The author did a good job on proving the theorem but the lack of definitions is a bit of a problem.
,,x,?,,,x,,,4,"4.Now, let us try to assess the quality.First, a Formalization is correct if the Isabelle proof is correct. So we can be assured of the correctness of this Formalization.Second, the definitions are understandable."
x,,,?,,,,,,9,"9.However, I would probably improve the following:\begin{code}lemma list_R1_set_defs:  ""('a list_R1x :: 'a list_R1 setA) \<Longrightarrow> 'a list_R1 set?""  [unfolded blinding_of_F_def, unfolded list_R1.def list_R1_def, rule list_R1.refl, rule list_R1_def, rule blinding_of_F_def, rule list_R1_refl]  by blast\end{code}"
,,x,y,,,,,,4,"4. It works, is correct, but the proof that it works is too long, and it is quite difficult to follow the definitions."
,,,,,,,x,,5,5. If I am asked to do more work in this formalization I would most likely do it in another formalization.
,,x,n,,,,,,3,3.It is completely understandable. There are no confusing definitions. The lemmas are well named and self-contained.
,,,,,,x,,,5,"5.The definition of \texttt{merge_R1} is correct, and the proof of \texttt{merge_on_R1} is also correct, although its first line is missing an \texttt{assumes}."
,,x,y,,,,,,10,"10.It should be clear how to use it, as it is written by a human.It is concise, easy to read, and easy to understand."
,,x,y,,,,,,5,"5. The structure is more or less correct, but there are some problems.First of all, it is hard to read, as the notation is quite strange, the structure is not always clear, and the use of quotation is not intuitive."
,,,,x,,,,,6,"6.\paragraph{Quality Assessment}In this section, we will introduce a metric for assessing the quality of formalizations."
,,,,,,,x,,2,"2.The Isabelle specification language is designed to create formalizations that are easy to understand and maintain. These properties are not guaranteed by formalizations created with this language, but we can make them likely."
,,,,x,,,,,4,"4.* Improving the qualityA formalization can be improved by adding comments, using the short cuts ``qed``, and by grouping statements in a more readable way."
,x,,y,,,,,,4,"4, it is somewhat clear, understandable, maintainable, and easy to use.That being said, it is still not perfect:The proof of `merge_R1_cong` is too long and not easily understood."
,,x,y,,x,,,,2,"2.However, the above snippet suffers from the following problems:\begin{itemize}\item It is not self-contained: A reader has to read the context to know how to interpret it."
x,,,?,,,,,,4,"4.One could potentially improve this by replacing the definition of blinding_of_hash with something like this:lemma blinding_of_hash_R1:  ""\<lbrakk> \<And>'ax 'ay. 'a \<Rightarrow> 'a \<Rightarrow> boolbo ..."
,,,,,,x,,,9,9.Therefore we can say that the formalization is correct.
,,,,,,,x,,10,"10.Snippets can be written by hand, or they can be generated automatically from the Isabelle API."
x,,,?,,,,,,5,"5.However, one could go further and refactor the definition of blinding_of_fun_mono to the lemma below."
,,x,y,,x,,,,6,6.Why are definitions missing? Why are some proofs so long? Why is the code not easily readable?
,,,,,,,x,,2,"2.The Isabelle formalization of the above snippet was verified by formalverification.org, which is a service to verify Isabelle code."
,,,,,,,x,,2,"2.In order to determine the quality of a formalization, I would first rate it on the number of dependencies used (e.g., @{cite ""depend""})."
,,,,,,,x,,4,"4 or a 5.While writing the Isabelle proof, we of course had to take care about the syntax and the layout."
x,,,?,,,,,,6,"6.(*   - we could improve the definitions of merge_fun_def and the    alt_defs for is_none_def and is_some_def  - we could try and make it more readable  - we could use a different theorem prover (CVC4, Coq)*)"
,x,,y,,,,,,9,"9. The only problem is that I need to understand the proof that the ""transfer_prover"" function is correct."
,x,,y,,,,,,3,3:\begin{itemize}\item The author is not very consistent. In the definition of `optionSome` he does not use the type `optionm`.
,,,,,,,x,,5,"5 or maybe 6.Formalizing Isabelle/HOL software is a very time-consuming task. It is important to avoid re-writing definitions, theorems, and lemmas that are already in the base library."
,,,,,,,x,,10,10.Isabelle should give a score for the quality of the formalization to allow users to assess their own work.
,,,,,,,x,,5,5.I am looking for a way to formalize my code for this and similar snippets so that the quality is increased.
,,x,y,,,,,,9,"9. The developer didn't go overboard, and one could add more definitions and lemmas if needed."
,,,,,,,x,,6,"6. In this case, we have an obvious mistake:`transfer` is used where `hash_rt_tree'` is expected."
,,,,,,,x,,3,"3.The proof is well-typed, but confusing: I am not sure what exactly it proves, and that I have to do something to get the third clause to work."
,,,,x,,,,,6,"6.To improve the quality, we need to understand the goal of the proof, the intent of the definition, and the implementation of the theorem."
,,,,,,,x,,4,4.Isabelle will not tell us what is wrong. We have to figure that out ourselves.
,,x,n,,,,,,5,5.We would like to give it a 7 or 8.The snippet is hard to understand and follow.
,,,,,,,x,,5,"5, which is not bad at all.However, what if we want to debug it?We can use Isabelle's interactive mode."
,,,,x,,,,,7,"7.\strong{What is good quality?}I would like to understand what makes a formalization good, and to hear about what people have tried and what worked, and what did not work."
,,x,y,,,,,,2,"2. It is unreadable, it is not very easily verifiable, and it is not very easy to maintain."
x,,,?,,,,,,4,4.Let us now look at the proof of the same lemma using a slightly different formalization style:apply(rule predicate2I vimage2pI)+  apply(erule blinding_of_tree.induct)  apply(simp) ...
,,,,,,,x,,3,"3.How can we assess the quality of a formalization, and how can we improve it?This is where \texttt{FixM} comes into play."
,x,,y,,,,,,2,2.There is still a lot of things that could be improved:\begin{itemize}\item The definition of `hash_blindable_def` is repeated.
,x,,y,,,,,,7,"7. It is not a 10 because there are unclear definitions, and it is not a 0 because it is perfectly correct."
Total,Total,Total,Consistent,Total,Total,Total,Total,,,
9,10,32,35,9,7,10,32,,,
,,,Contradictory,,,,,,,
,,,6,,,,,,,
,,,Unclear,,,,,,,
,,,10,,,,,,,
,,,Total,,,,,,,
,,,51,,,,,,,
